date,number of accidents,Temperature,windspeed
2015-02-03,1239,266.7576838159584,3.4166666666666665
2015-02-04,954,266.45741177633334,1.625
2015-02-05,1018,270.2580575030417,2.875
2015-02-06,1046,262.68602066525,2.5
2015-02-07,752,265.3531486174583,1.5833333333333333
2015-02-08,740,271.10836379445834,0.9166666666666666
2015-02-09,979,274.4342051887916,1.875
2015-02-10,846,273.42366666666663,2.4583333333333335
2015-02-11,899,269.08164029949995,2.0416666666666665
2015-02-12,947,268.1202032697917,1.2916666666666667
2015-02-13,1272,264.28300859154166,3.2083333333333335
2015-02-14,1021,262.12297881783337,1.4583333333333333
2015-02-15,933,264.46518692583334,5.125
2015-02-16,986,261.224125629375,3.9166666666666665
2015-02-17,898,263.13480674170836,1.2083333333333333
2015-02-18,937,261.1628532152083,0.9166666666666666
2015-02-19,1007,263.34822177216665,2.9583333333333335
2015-02-20,1128,259.2875918015,3.2083333333333335
2015-02-21,1125,259.01975,1.7083333333333333
2015-02-22,686,274.1554697931667,1.125
2015-02-23,816,269.419462099375,2.75
2015-02-24,772,259.83265312233334,1.5
2015-02-25,923,264.65571700695835,2.25
2015-02-26,706,264.5324709505,1.875
2015-02-27,957,265.4503372231666,2.0833333333333335
2015-02-28,669,262.48808341524995,1.4583333333333333
2015-03-01,1208,263.164309095875,1.0
2015-03-02,939,271.58200029395834,2.5833333333333335
2015-03-03,1020,267.1465,2.0
2015-03-04,860,275.8418502640416,3.25
2015-03-05,1073,272.72916569862497,3.1666666666666665
2015-03-06,1146,265.5362154725,3.625
2015-03-07,639,267.93667289395836,3.5833333333333335
2015-03-08,533,276.0002686862917,4.041666666666667
2015-03-09,755,277.0981979567917,3.375
2015-03-10,720,275.53801989116664,1.375
2015-03-11,722,279.45375566804165,2.0833333333333335
2015-03-12,691,276.06666666666666,3.6666666666666665
2015-03-13,777,272.94114583333334,2.0833333333333335
2015-03-14,618,277.38631250000003,1.625
2015-03-15,509,278.08310416666666,4.083333333333333
2015-03-16,665,276.8176875,2.7083333333333335
2015-03-17,661,279.58633333333336,3.0833333333333335
2015-03-18,765,273.77125,6.208333333333333
2015-03-19,699,273.26287499999995,3.125
2015-03-20,969,272.2457835828333,2.0833333333333335
2015-03-21,751,273.18454609316666,2.0833333333333335
2015-03-22,535,274.0783333333333,3.8333333333333335
2015-03-23,683,271.50558333333333,2.75
2015-03-24,740,271.83691666666664,1.7916666666666667
2015-03-25,700,273.61629166666665,1.75
2015-03-26,716,279.5271875,2.2083333333333335
2015-03-27,748,279.71310416666665,2.7916666666666665
2015-03-28,649,275.01641666666666,3.4583333333333335
